movie_title;release_month;release_year;genre;total_gross;inflation_adjusted_gross
White Squall;February;1996;Adventure;10229300;19509726
The Hunchback of Notre Dame;June;1996;Adventure;100138851;190988799
Phenomenon;July;1996;Drama;104636382;199559799
The Associate;October;1996;Comedy;12772657;24333094
Mr. Wrong;February;1996;Romantic Comedy;12805071;24422334
The Rock;June;1996;Action;134069511;255702705
101 Dalmatians;November;1996;Comedy;136189294;258728898
Ransom;November;1996;Action;136492681;259807820
Kazaam;July;1996;Comedy;18880508;36009655
Boys;May;1996;Drama;21930418;41826566
D3: The Mighty Ducks;October;1996;Comedy;22936273;43713554
First Kid;August;1996;Comedy;26465920;50465108
Spy Hard;May;1996;Comedy;26936265;51373912
James and the Giant Peach;April;1996;Adventure;28921264;55159783
Eddie;May;1996;Comedy;31369401;59828966
Homeward Bound II: Lost in San Franc…;March;1996;Adventure;32709423;62384706
Muppet Treasure Island;February;1996;Adventure;34327391;65470567
The Preacher's Wife;December;1996;Drama;48102795;91076877
Last Dance;May;1996;Drama;5857534;11171714
Evita;December;1996;Musical;50047179;92077628
Up Close & Personal;March;1996;Drama;51045801;97356578
Jack;August;1996;Drama;58617334;111792852
The Rich Man's Wife;September;1996;Thriller/Suspense;8538318;16284619
Before and After;February;1996;Drama;8642118;16482589
Celtic Pride;April;1996;Comedy;9240378;17623615
Prefontaine;January ;1997;Drama;590817;1085093
Washington Square;October;1997;Drama;1775644;3257546
Con Air;June;1997;Action;101117573;185712664
George Of The Jungle;July;1997;Comedy;105263257;193326632
The Sixth Man;March;1997;Comedy;14765099;27117599
Rocket Man;October;1997;Comedy;15448043;28371890
That Darn Cat;February;1997;Comedy;18301828;33613158
Gone Fishin';May;1997;Comedy;19745922;36265379
Shadow Conspiracy;January ;1997;Thriller/Suspense;2154540;3957025
Mr. Magoo;December;1997;Comedy;21437192;39145784
Air Bud;August;1997;Comedy;24646936;45266588
An American Werewolf in Paris;December;1997;Horror;26570463;48546161
Grosse Pointe Blank;April;1997;Black Comedy;28084357;51579764
Romy and Michele's High School Reunion;April;1997;Comedy;29235353;53693680
Metro;January ;1997;Action;32017895;58804106
Playing God;October;1997;Thriller/Suspense;4166918;7652965
Nothing To Lose;July;1997;Comedy;44480039;81692095
G.I. Jane;August;1997;Drama;48169156;88467531
Kundun;December;1997;Drama;5686694;10236836
Jungle 2 Jungle;March;1997;Comedy;59925026;110058379
A Thousand Acres;September;1997;Drama;7928412;14561324
Flubber;November;1997;Comedy;92993801;170406423
Hercules;June;1997;Adventure;99112101;182029412
An Alan Smithee Film: Burn Hollywood …;February;1998;Comedy;45779;82277
Firelight;September;1998;Drama;784419;1409943
Deep Rising;January ;1998;Action;11203026;20136775
Enemy of the State;November;1998;Action;111549836;198472008
Holy Man;October;1998;Comedy;12069719;21694605
I'll Be Home For Christmas;November;1998;Comedy;12214338;21941840
Mulan;June;1998;Adventure;120620254;216807832
The Waterboy;November;1998;Comedy;161491646;288691833
A Bug's Life;November;1998;Adventure;162798565;288981698
Rushmore;December;1998;Black Comedy;17105219;28392518
Simon Birch;September;1998;Drama;18253415;32809442
Jane Austen's Mafia;July;1998;Comedy;19843795;35668055
Armageddon;July;1998;Adventure;201578182;362324957
He Got Game;May;1998;Drama;21567853;38766948
Beloved;October;1998;Drama;22852487;41062682
Meet the Deedles;March;1998;Comedy;4356126;7829877
Mighty Joe Young;December;1998;Adventure;50632037;87906042
A Civil Action;December;1998;Drama;56709981;94139530
The Parent Trap;July;1998;Comedy;66308518;119185667
Krippendorf's Tribe;February;1998;Comedy;7571115;13608633
Six Days Seven Nights;June;1998;Romantic Comedy;74339294;133620516
The Horse Whisperer;May;1998;Drama;75383563;135497531
